Table #,V2 Table Type,Name,Description,Concept Domain,Steward WorkGroup,V2 Binding Code,Field Where Used,V2 Codes Table Comment.,Code System Problem?,Table OID,V2 Code System OID,V2 Code System URI,V2 Value Set OID,V2 Value Set URI,V2 Code System Version,version-tbl-introduced,version-csvs-introduced,V2 VS CLD Type
0434,User,Patient Condition Code,"Table of codes specifying the patient's current medical condition for the purpose of communicating to non-medical outside parties, e.g. family, employer, religious minister, media, etc.",PatientConditionCode,pa,Representative (2),PV2-42,,,2.16.840.1.113883.12.434,2.16.840.1.113883.18.275,http://terminology.hl7.org/CodeSystem/v2-0434,2.16.840.1.113883.21.291,http://terminology.hl7.org/ValueSet/v2-0434,10,2.4,2.9,1
0435,User,Advance Directive Code,Table of codes specifying the patient's instructions to the healthcare facility.,AdvanceDirectiveCode,pa,Example (1),"PV2-45, PD1-15",,,2.16.840.1.113883.12.435,2.16.840.1.113883.18.276,http://terminology.hl7.org/CodeSystem/v2-0435,2.16.840.1.113883.21.292,http://terminology.hl7.org/ValueSet/v2-0435,10,2.4,2.9,1
0436,User,Sensitivity to Causative Agent Code,Table of codes specifying the reason the patient should not be exposed to a substance.,SensitivityToCausativeAgentCode,pa,Example (1),IAM-9,,,2.16.840.1.113883.12.436,2.16.840.1.113883.18.277,http://terminology.hl7.org/CodeSystem/v2-0436,2.16.840.1.113883.21.293,http://terminology.hl7.org/ValueSet/v2-0436,10,2.4,2.9,1
0437,User,Alert Device Code,Table of codes specifying any type of allergy alert device the patient may be carrying or wearing.,AlertDeviceCode,pa,Example (1),IAM-16,,,2.16.840.1.113883.12.437,2.16.840.1.113883.18.278,http://terminology.hl7.org/CodeSystem/v2-0437,2.16.840.1.113883.21.294,http://terminology.hl7.org/ValueSet/v2-0437,10,2.4,2.9,1
0438,User,Allergy Clinical Status,Table of codes specifying the verification status for the allergy.,AllergyClinicalStatus,pa,Example (1),IAM-17,,,2.16.840.1.113883.12.438,2.16.840.1.113883.18.279,http://terminology.hl7.org/CodeSystem/v2-0438,2.16.840.1.113883.21.295,http://terminology.hl7.org/ValueSet/v2-0438,10,2.4,2.9,1
0440,HL7,Data Types,HL7-defined table of codes specifying the data type.,DataTypes,inm,Universal (3),"RCD.2, RDF-2",,,2.16.840.1.113883.12.440,2.16.840.1.113883.18.280,http://terminology.hl7.org/CodeSystem/v2-0440,2.16.840.1.113883.21.296,http://terminology.hl7.org/ValueSet/v2-0440,10,2.4,2.9,1
0441,User,Immunization Registry Status,Table of codes specifying the immunization registry status of the patient.,ImmunizationRegistryStatus,pa,Representative (2),PD1-16,,,2.16.840.1.113883.12.441,2.16.840.1.113883.18.281,http://terminology.hl7.org/CodeSystem/v2-0441,2.16.840.1.113883.21.297,http://terminology.hl7.org/ValueSet/v2-0441,10,2.4,2.9,1
0442,User,Location Service Code,Table of codes specifying the types of services provided by the location.,LocationServiceCode,pa,Example (1),LOC-9,,,2.16.840.1.113883.12.442,2.16.840.1.113883.18.282,http://terminology.hl7.org/CodeSystem/v2-0442,2.16.840.1.113883.21.298,http://terminology.hl7.org/ValueSet/v2-0442,10,2.4,2.9,1
0443,User,Provider Role,"Table of codes specifying the functional involvement with the activity being transmitted (e.g., Case Manager, Evaluator, Transcriber, Nurse Care Practitioner, Midwife, Physician Assistant, etc.).",ProviderRole,pa,N/A (0),ROL-3,,,2.16.840.1.113883.12.443,2.16.840.1.113883.18.283,http://terminology.hl7.org/CodeSystem/v2-0443,2.16.840.1.113883.21.299,http://terminology.hl7.org/ValueSet/v2-0443,10,2.4,2.9,1
0444,HL7,Name Assembly Order,HL7-defined table of codes specifying the preferred display order of the components of this person name.,NameAssemblyOrder,inm,Universal (3),"PPN-19, XCN-18, XPN-11",,,2.16.840.1.113883.12.444,2.16.840.1.113883.18.284,http://terminology.hl7.org/CodeSystem/v2-0444,2.16.840.1.113883.21.300,http://terminology.hl7.org/ValueSet/v2-0444,10,2.4,2.9,1
0445,User,Identity Reliability Code,Table of codes specifying the reliability of patient/person identifying data transmitted via a transaction.,IdentityReliabilityCode,pa,Example (1),PID-32,,,2.16.840.1.113883.12.445,2.16.840.1.113883.18.285,http://terminology.hl7.org/CodeSystem/v2-0445,2.16.840.1.113883.21.301,http://terminology.hl7.org/ValueSet/v2-0445,10,2.4,2.9,1
0446,User,Species Code,Table of codes specifying the species of living organism.  No suggested values.,SpeciesCode,pa,N/A (0),PID-35,,,2.16.840.1.113883.12.446,,,,,10,2.4,2.9,
0447,User,Breed Code,Table of codes specifying the specific breed of animal.  No suggested values.,BreedCode,pa,N/A (0),PID-36,,,2.16.840.1.113883.12.447,,,,,10,2.4,2.9,
0448,User,Name Context,Table of codes specifying the context in which a name is used.  No suggested values.,NameContext,inm,N/A (0),"PPN.17, XCN.16, XPN.9",,,2.16.840.1.113883.12.448,,,,,10,2.4,2.9,
0449,HL7,Conformance statements,HL7-defined table of reasons a specimen may be rejected for a specified observation/result/analysis.  Used in Version 2 messaging in the SPM segment.,ConformanceStatements,,Universal (3),,,,2.16.840.1.113883.12.449,,,,,10,2.4,2.9,
0450,HL7,Event Type,HL7-defined table of codes specifying the type of event of the message.,EQPEventType,oo,Universal (3),EQP-1,,,2.16.840.1.113883.12.450,2.16.840.1.113883.18.286,http://terminology.hl7.org/CodeSystem/v2-0450,2.16.840.1.113883.21.302,http://terminology.hl7.org/ValueSet/v2-0450,10,2.4,2.9,1
0451,User,Substance Identifier,Table of codes specifying the substance that is in inventory.  No suggested values.,SubstanceIdentifier,oo,N/A (0),INV-1,,,2.16.840.1.113883.12.451,,,,,10,2.4,2.9,
0452,User,Health Care Provider Type Code,"Table of codes specifying the major grouping of the service or occupation of the practitioner at a specific organization unit.   In the US, it is suggested to use ANSI ASC X12 Health Care Provider Taxonomy, Level 1 - Type",HealthCareProviderTypeCode,pa,Universal (3),ORG-6,,,2.16.840.1.113883.12.452,,,,,10,2.4,2.9,
0453,User,Health Care Provider Classification,"Table of codes specifying the more specific service or occupation within the healthcare provider type of the practitioner at a specific organization unit. Health Care Provider ClassificationIn the US, it is suggested to use ANSI ASC X12 Health Care Provider Taxonomy, Level 2 - Classification",HealthCareProviderClassification,pa,Universal (3),ORG-7,,,2.16.840.1.113883.12.453,,,,,10,2.4,2.9,
0454,User,Health Care Provider Area of Specialization,"Table of codes specifying the segment of the population that a health care provider chooses to service, a specific medical service, a specialization in treating a specific disease, or any other descriptive characteristic about the provider’s practice relating to the services rendered of the practitioner at a specific organization unit.Health Care Provider Area of Specialization.  In the US it is suggested to use ANSI ASC X12 Health Care Provider Taxonomy, Level 2 - Classification.",HealthCareProviderAreaOfSpecialization,pa,Universal (3),ORG-8,,,2.16.840.1.113883.12.454,,,,,10,2.4,2.9,
0455,User,Type of Bill Code,"Table of codes specifying the specific type of bill with digit 1 showing type of facility, digit 2 showing bill classification and digit 3 showing frequency.  No suggested values.",TypeOfBillCode,fm,N/A (0),GP1-1,,,2.16.840.1.113883.12.455,,,,,10,2.4,2.9,
0456,User,Revenue code,"Externally defined table of codes specifying a service line revenue code.  These are claim codes indicating the identifying number for the product or service provided.  In the US, NUBC codes generally used, see code system 2.16.840.1.113883.6.301.3; more information may be found at  http://www.nubc.org/become.html. The UB-04 Data Specifications Manual with the codes is available by subscription from NUBC at http://www.nubc.org/become.html, UB form locater 42.",RevenueCode,fm,US Realm (4),"GP1-2, FT1-41",,UTG Missing CodeSystem,2.16.840.1.113883.12.456,2.16.840.1.113883.6.301.3,http://terminology.hl7.org/CodeSystem/v2-0456,2.16.840.1.113883.21.476,http://terminology.hl7.org/ValueSet/v2-0456,10,2.4,2.9,1
0457,User,Overall Claim Disposition Code,Table of codes specifying the final status of the claim.,OverallClaimDispositionCode,fm,Example (1),GP1-3,,,2.16.840.1.113883.12.457,2.16.840.1.113883.18.292,http://terminology.hl7.org/CodeSystem/v2-0457,2.16.840.1.113883.21.308,http://terminology.hl7.org/ValueSet/v2-0457,10,2.4,2.9,1
0458,Externally defined,OCE Edit Code,"Table of codes that specify the edits that result from processing the HCPCS/CPT procedures for a record after evaluating all the codes, revenue codes, and modifiers.  The codes listed as examples are not an exhaustive or current list, refer to OPPS Final Rule.  OCE (Outpatient Code Editor) edits also exist at the pre-procedure level.  This field is defined by CMS or other regulatory agencies.",OceEditCode,fm,N/A (0),GP1-3,,,2.16.840.1.113883.12.458,,,,,10,2.4,2.9,
0459,Externally defined,Reimbursement Action Code,Table of codes specifying the action to be taken during reimbursement calculations.,ReimbursementActionCode,fm,N/A (0),GP2-4,,,2.16.840.1.113883.12.459,,,,,10,2.4,2.9,
0460,User,Denial or Rejection Code,Table of codes specifying the OCE status of the line item.,DenialOrRejectionCode,fm,N/A (0),GP2-5,,,2.16.840.1.113883.12.460,,,,,10,2.4,2.9,
0461,User,License Number,Table of codes specifying the license number for the facility.  No suggested values.,LicenseNumber,pa,N/A (0),LOC-7,,,2.16.840.1.113883.12.461,,,,,10,2.4,2.9,
0462,User,Location Cost Center,Table of codes specifying the cost center to which this location belongs.  No suggested values.,LocationCostCenter,pa,N/A (0),LDP-12,,,2.16.840.1.113883.12.462,,,,,10,2.4,2.9,
0463,User,Inventory Number,"Table of codes specifying an identifying stock number, if any, which might be used, for example, as a cross reference for materials management.  No suggested values.",InventoryNumber,fm,N/A (0),CDM-9,,,2.16.840.1.113883.12.463,,,,,10,2.4,2.9,
0464,User,Facility ID,"Table of codes specifying the facility of the institution for which this price (for the preceding CDM entry) is valid.  For use when needing multi-facility pricing. If null, assume all facilities. In a multi-facility environment, the facility associated with this chargeable item may not be the same as the sending or receiving facility identified in the MSH segment. Use only when the price is not the same for all facilities, that is, a null value indicates that this pricing is valid for all facilities.  No suggested values.",FacilityId,fm,N/A (0),PRC-2,,,2.16.840.1.113883.12.464,,,,,10,2.4,2.9,
0465,HL7,Name/Address Representation,HL7-defined table of codes specifying an indication of the representation provided by the data item.,Name_AddressRepresentation,inm,Universal (3),"PPN.16, XAD.11, XCN.15, XON.9",,,2.16.840.1.113883.12.465,2.16.840.1.113883.18.295,http://terminology.hl7.org/CodeSystem/v2-0465,2.16.840.1.113883.21.311,http://terminology.hl7.org/ValueSet/v2-0465,10,2.4,2.9,1
0466,User,Ambulatory Payment Classification Code,Table of codes specifying the derived Ambulatory Payment Classification (APC) code.,AmbulatoryPaymentClassificationCode,fm,N/A (0),GP2-7,,,2.16.840.1.113883.12.466,2.16.840.1.113883.18.296,http://terminology.hl7.org/CodeSystem/v2-0466,2.16.840.1.113883.21.312,http://terminology.hl7.org/ValueSet/v2-0466,10,2.4,2.9,1
0467,User,Modifier Edit Code,Table of codes that specify the edits of the modifiers for each line or HCPCS/CPT.  This field is defined by CMS or other regulatory agencies in the US.,ModifierEditCode,fm,N/A (0),GP1-8,,UTG Missing CodeSystem,2.16.840.1.113883.12.467,2.16.840.1.113883.6.301.10,http://terminology.hl7.org/CodeSystem/v2-0467,2.16.840.1.113883.21.469,http://terminology.hl7.org/ValueSet/v2-0467,10,2.4,2.9,1
0468,User,Payment Adjustment Code,Table of codes specifying any payment adjustment due to drugs or medical devices.,PaymentAdjustmentCode,fm,N/A (0),GP2-9,,,2.16.840.1.113883.12.468,2.16.840.1.113883.18.297,http://terminology.hl7.org/CodeSystem/v2-0468,2.16.840.1.113883.21.313,http://terminology.hl7.org/ValueSet/v2-0468,10,2.4,2.9,1
0469,User,Packaging Status Code,Table of codes specifying the packaging status of the service.,PackagingStatusCode,fm,Example (1),GP2-10,,,2.16.840.1.113883.12.469,2.16.840.1.113883.18.298,http://terminology.hl7.org/CodeSystem/v2-0469,2.16.840.1.113883.21.314,http://terminology.hl7.org/ValueSet/v2-0469,10,2.4,2.9,1
0470,User,Reimbursement Type Code,Table of codes specifying the fee schedule reimbursement type applied to the line item.,ReimbursementTypeCode,fm,N/A (0),GP2-12,,,2.16.840.1.113883.12.470,2.16.840.1.113883.18.299,http://terminology.hl7.org/CodeSystem/v2-0470,2.16.840.1.113883.21.315,http://terminology.hl7.org/ValueSet/v2-0470,10,2.4,2.9,1
0471,User,Query Name,Table of codes specifying the name of the query.  No suggested values.,QueryName,inm,N/A (0),"QPD-1, QAK-3, QID-2",,,2.16.840.1.113883.12.471,,,,,10,2.4,2.9,
0472,HL7,TQ Conjunction ID,HL7-defined table of codes specifying that a second timing specification is to follow using the repeat delimiter.,TqConjunctionId,oo,Universal (3),TQ1-12,,,2.16.840.1.113883.12.472,2.16.840.1.113883.18.300,http://terminology.hl7.org/CodeSystem/v2-0472,2.16.840.1.113883.21.316,http://terminology.hl7.org/ValueSet/v2-0472,10,2.4,2.9,1
0473,User,Formulary Status,Table of codes specifying whether or not the service (pharmaceutical) is in the formulary.,ServiceFormularyStatus,oo,Example (1),OM7-22,,,2.16.840.1.113883.12.473,2.16.840.1.113883.18.301,http://terminology.hl7.org/CodeSystem/v2-0473,2.16.840.1.113883.21.317,http://terminology.hl7.org/ValueSet/v2-0473,10,2.4,2.9,1
0474,User,Practitioner Organization Unit Type,Table of codes specifying the classification of the organization unit.,PractitionerOrganizationUnitType,pa,Example (1),ORG-3,,,2.16.840.1.113883.12.474,2.16.840.1.113883.18.302,http://terminology.hl7.org/CodeSystem/v2-0474,2.16.840.1.113883.21.318,http://terminology.hl7.org/ValueSet/v2-0474,10,2.4,2.9,1
0475,User,Charge Type Reason,"Table of codes specifying the choice of, and providing the clinical rationale for, a selected charge type.",ChargeTypeReason,oo,Representative (2),BLG-4,,,2.16.840.1.113883.12.475,2.16.840.1.113883.18.303,http://terminology.hl7.org/CodeSystem/v2-0475,2.16.840.1.113883.21.319,http://terminology.hl7.org/ValueSet/v2-0475,10,2.5,2.9,1
0476,User,Medically Necessary Duplicate Procedure Reason,Table of codes specifying the reason the procedure code found in OBR-44 Procedure Code is a duplicate of one ordered/charged previously for the same patient within the same date of service and has been determined to be medically necessary.  No suggested values.,V2MedicallyNecessaryDuplicateProcedureReason,oo,N/A (0),"OBR-48, FT1-28",,,2.16.840.1.113883.12.476,,,,,10,2.5,2.9,
0477,User,Controlled Substance Schedule,"Table of codes specifying the class of the drug or other substance if its usage is controlled by legislation.  In the USA, such legislation includes the federal Controlled Substance Act (CSA) or a State Uniform Controlled Substance Act. Values are drawn from the Pharmacy Law Digest July 1988.  Other countries should create their own versions of this table.  No suggested values.",ControlledSubstanceSchedule,oo,Representative (2),RXE-35,,,2.16.840.1.113883.12.477,2.16.840.1.113883.18.304,http://terminology.hl7.org/CodeSystem/v2-0477,2.16.840.1.113883.21.320,http://terminology.hl7.org/ValueSet/v2-0477,10,2.5,2.9,1
0478,HL7,Formulary Status,HL7-defined table of codes specifying whether or not the pharmaceutical substance is part of the local formulary.,SubstanceFormularyStatus,oo,Universal (3),SPM-4,,,2.16.840.1.113883.12.478,2.16.840.1.113883.18.305,http://terminology.hl7.org/CodeSystem/v2-0478,2.16.840.1.113883.21.321,http://terminology.hl7.org/ValueSet/v2-0478,10,2.5,2.9,1
0479,User,Pharmaceutical Substances,"Table of codes specifying the medical substance or treatment that has been ordered to be given to the patient, as encoded by the pharmacy or treatment supplier.  No suggested values.",PharmaceuticalSubstances,oo,N/A (0),RXE-2,,,2.16.840.1.113883.12.479,,,,,10,2.5,2.9,
