Ch2c Table,Ch2c Concept Domain Info - Name,Ch2c Concept Domain Info - Symbolic Name,Ch2c Concept Domain Info - Description,Ch2c Concept Domain Info - Cd Only,Ch2c Cs Info - Oid,Ch2c Cs Info - Symbolic Name,Ch2c Cs Info - Description,Ch2c Cs Info - Full Name,Ch2c Cs Info - Utg Url,Ch2c Cs Info - Utg Name,Ch2c Cs Info - Table Oid,Ch2c Cs Info - Version Info,Ch2c Cs Info - Web Url,Ch2c Cs Info - Comments,Ch2c Cs Version Info - Effective Date,Ch2c Cs Version Info - Version,Ch2c Cs Version Info - Version Introduced,Ch2c Vs Version Info - Oid,Ch2c Vs Version Info - Symbolic Name,Ch2c Vs Version Info - Description,Ch2c Vs Version Info - Full Name,Ch2c Vs Version Info - Utg Url,Ch2c Vs Version Info - Cld,Ch2c Vs Version Info - Web Url,Ch2c Vs Version Info - Utg Name,Ch2c Vs Version Info - Utg Title,Ch2c Vs Version Info - Comments,Ch2c Binding Info - Realm,Ch2c Metadata - Table,Ch2c Metadata - Table Oid,Ch2c Metadata - Symbolic Name,Ch2c Metadata - Description,Ch2c Metadata - Type,Ch2c Metadata - Steward,Ch2c Metadata - Where Used,Ch2c Metadata - Version Introduced,Ch2c Metadata - Full Name,Ch2c Metadata - Utg Url
0485 -- Extended Priority Codes,DOM: 485,ExtendedPriorityCodes,"The domain of possible values describing the urgency of a request
carried in an order.",false,2.16.840.1.113883.18.310,extendedPriorityCodes,"Code system of concepts describing the urgency of a request carried
in an order. Used in HL7 Version 2.x messaging in timing/quantity; in
older versions of the Standard was used in the TQ datatype, but in later
versions it is used in the TQ1 segment (which replaced the TQ datatype
which has been withdrawn).",Extended Priority Codes Code System,http://terminology.hl7.org/CodeSystem/v2-0485,,,,,,30.08.2003,2,2.5,2.16.840.1.113883.21.326,hl7VS-extendedPriorityCodes,"Concepts describing the urgency of a request carried in an order.
Used in Version 2 messaging in timing/quantity; in older versions of the
Standard was used in the TQ datatype, but in later versions it is used
in the TQ1 segment (which replaced the TQ datatype which has been
withdrawn). Many of the codes are widely recognized values used in
healthcare settings in the english-speaking world.",Extended Priority Codes Value Set,http://terminology.hl7.org/ValueSet/v2-0485,all codes,,,,,example,0485,2.16.840.1.113883.12.485,Extended Priority Codes,"Table of codes describing the urgency of a request carried in an
order. See the Comment/Usage Note in the table below, as the table
contains both precoordinated codes that may be used in an HL7 field or
component and also explanatory patterns illustrating the syntax used to
construct expressions using the codes and other modifiers.",User,OO,TQ1-9,2.5,,
0487 -- Specimen Type,DOM: 487,SpecimenType,"The domain of possible values that describe the precise nature of an
entity that may be used as the source material for an observation.",false,2.16.840.1.113883.18.311,specimenType,"HL7-defined code system of concepts that describe the precise nature
of an entity that may be used as the source material for an observation.
This is one of two code systems that are used instead of table 0070
(code system 2.16.840.1.113883.18.28) which conflated specimen types and
specimen collection methods. Used in HL7 Version 2.x messaging in the
SPM segment.",Specimen Type Code System,http://terminology.hl7.org/CodeSystem/v2-0487,,,,,,30.08.2003,3,2.5,2.16.840.1.113883.21.327,hl7VS-specimenType,"Concepts that describe the precise nature of an entity that may be
used as the source material for an observation. This is one of two code
systems that are used instead of table 0070 (code system xxxx) which
conflated specimen types and specimen collection methods. Used in
Version 2 messaging in the SPM segment.",Specimen Type Value Set,http://terminology.hl7.org/ValueSet/v2-0487,all codes,,,,,universal,0487,2.16.840.1.113883.12.487,Specimen Type,"HL7-defined table of codes that describe the precise nature of an
entity that may be used as the source material for an observation. This
is one of two code systems that are used instead of table 0070 (code
system 2.16.840.1.113883.18.28) which conflated specimen types and
specimen collection methods.",HL7,,SPM-4,2.5,,
0488 -- Specimen Collection Method,DOM: 488,SpecimenCollectionMethod,"The domain of possible values for the specimen collection
method.",false,2.16.840.1.113883.18.312,specimenCollectionMethod,"HL7-defined code system of concepts specifying the specimen
collection method. Used in HL7 Version 2.x messaging in the SPM
segment.",Specimen Collection Method Code System,http://terminology.hl7.org/CodeSystem/v2-0488,,,,,,30.08.2003,1,2.5,2.16.840.1.113883.21.328,hl7VS-specimenCollectionMethod,"Concepts to document procedures or processes by which a specimen may
be collected. This is one of two code systems that are used instead of
table 0070 (code system xxxx) which conflated specimen types and
specimen collection methods. Used in Version 2 messaging in the SPM
segment.",Specimen Collection Method Value Set,http://terminology.hl7.org/ValueSet/v2-0488,all codes,,,,,universal,0488,2.16.840.1.113883.12.488,Specimen Collection Method,"HL7-defined table of codes specifying the specimen collection
method. Used in Version 2 messaging in the SPM segment.",HL7,OO,SPM-7,2.5,,
0489 -- Risk Codes,DOM: 489,RiskCodes,"The domain of possible values for any known or suspected specimen
hazards, e.g., exceptionally infectious agent or blood from a hepatitis
patient.",false,2.16.840.1.113883.18.313,risks,"Code system of concepts specifying any known or suspected specimen
hazards, e.g., exceptionally infectious agent or blood from a hepatitis
patient. Used in HL7 Version 2.x messaging in the SPM and PAC
segments.",Risk Codes Code System,http://terminology.hl7.org/CodeSystem/v2-0489,,,,,,30.08.2003,1,2.5,2.16.840.1.113883.21.329,hl7VS-riskCodes,"Value Set of codes that specify any known or suspected specimen
hazards, e.g., exceptionally infectious agent or blood from a hepatitis
patient.",Risk Codes Value Set,http://terminology.hl7.org/ValueSet/v2-0489,all codes,,,,,unspecified,0489,2.16.840.1.113883.12.489,Risk Codes,"Table of codes specifying any known or suspected specimen hazards,
e.g., exceptionally infectious agent or blood from a hepatitis
patient.",User,OO,"SPM-16, PAC-8",2.5,,
0490 -- Specimen Reject Reason,DOM: 490,SpecimenRejectReason,"The domain of possible values for the reasons a specimen may be
rejected for a specified observation/result/analysis.",false,2.16.840.1.113883.18.314,specimenRejectReason,"HL7-defined code system of reasons a specimen may be rejected for a
specified observation/result/analysis. Used in HL7 Version 2.x messaging
in the SPM segment.",Specimen Reject Reason Code System,http://terminology.hl7.org/CodeSystem/v2-0490,,,,,,30.08.2003,1,2.5,2.16.840.1.113883.21.330,hl7VS-specimenRejectReason,"Reasons a specimen may be rejected for a specified
observation/result/analysis. Used in Version 2 messaging in the SPM
segment.",Specimen Reject Reason Value Set,http://terminology.hl7.org/ValueSet/v2-0490,all codes,,,,,universal,0490,2.16.840.1.113883.12.490,Specimen Reject Reason,"HL7-defined table of codes specifying the reasons a specimen may be
rejected for a specified observation/result/analysis.",HL7,OO,SPM-21,2.5,,
0491 -- Specimen Quality,DOM: 491,SpecimenQuality,"The domain of possible values for the degree or grade of excellence
of the specimen at receipt.",false,2.16.840.1.113883.18.315,specimenQuality,"Code system of concepts specifying the degree or grade of excellence
of the specimen at receipt. Used in HL7 Version 2.x messaging in the SPM
segment.",Specimen Quality Code System,http://terminology.hl7.org/CodeSystem/v2-0491,,,,,,30.08.2003,1,2.5,2.16.840.1.113883.21.331,hl7VS-specimenQuality,"Value Set of codes that specify the degree or grade of excellence of
the specimen at receipt.",Specimen Quality Value Set,http://terminology.hl7.org/ValueSet/v2-0491,all codes,,,,,unspecified,0491,2.16.840.1.113883.12.491,Specimen Quality,"Table of codes specifying the degree or grade of excellence of the
specimen at receipt.",User,OO,SPM-22,2.5,,
0492 -- Specimen Appropriateness,DOM: 492,SpecimenAppropriateness,"The domain of possible values for the suitability of the specimen
for the particular planned use as determined by the filler.",false,2.16.840.1.113883.18.316,specimenAppropriateness,"Code system of concepts specifying the suitability of the specimen
for the particular planned use as determined by the filler. Used in HL7
Version 2.x messaging in the SPM segment.",Specimen Appropriateness Code System,http://terminology.hl7.org/CodeSystem/v2-0492,,,,,,30.08.2003,2,2.5,2.16.840.1.113883.21.332,hl7VS-specimenAppropriateness,"Value Set of codes that specify the suitability of the specimen for
the particular planned use as determined by the filler.",Specimen Appropriateness Value Set,http://terminology.hl7.org/ValueSet/v2-0492,all codes,,,,,unspecified,0492,2.16.840.1.113883.12.492,Specimen Appropriateness,"Table of codes specifying the suitability of the specimen for the
particular planned use as determined by the filler.",User,OO,SPM-23,2.5,,
0493 -- Specimen Condition,DOM: 493,SpecimenCondition,"The domain of possible values for a mode or state of being that
describes the nature of a specimen.",false,2.16.840.1.113883.18.317,specimenCondition,"Code system of concepts specifying a mode or state of being that
describes the nature of the specimen. Used in HL7 Version 2.x messaging
in the SPM segment.",Specimen Condition Code System,http://terminology.hl7.org/CodeSystem/v2-0493,,,,,,30.08.2003,2,2.5,2.16.840.1.113883.21.333,hl7VS-specimenCondition,"Concepts of modes or states of being that describe the nature of a
specimen. Used in Version 2 messaging in the SPM segment.",Specimen Condition Value Set,http://terminology.hl7.org/ValueSet/v2-0493,all codes,,,,,unspecified,0493,2.16.840.1.113883.12.493,Specimen Condition,"Table of codes specifying a mode or state of being that describes
the nature of the specimen.",User,OO,SPM-24,2.5,,
0494 -- Specimen Child Role,DOM: 494,SpecimenChildRole,"The domain of possible values for for child specimens the
relationship between this specimen and the parent specimen.",false,2.16.840.1.113883.18.318,specimenChildRole,"HL7-defined code system of concepts specifying for child specimens
the relationship between this specimen and the parent specimen. Used in
HL7 Version 2.x messaging in the SPM segment.",Specimen Child Role Code System,http://terminology.hl7.org/CodeSystem/v2-0494,,,,,,30.08.2003,1,2.5,2.16.840.1.113883.21.334,hl7VS-specimenChildRole,"Value Set of codes that specify for child specimens the relationship
between this specimen and the parent specimen.",Specimen Child Role Value Set,http://terminology.hl7.org/ValueSet/v2-0494,all codes,,,,,universal,0494,2.16.840.1.113883.12.494,Specimen Child Role,"HL7-defined table of codes specifying for child specimens the
relationship between this specimen and the parent specimen.",HL7,OO,SPM-29,2.5,,
0495 -- Body Site Modifier,DOM: 495,BodySiteModifier,"The domain of possible values for the modifier for the body
site.",false,2.16.840.1.113883.18.319,bodySiteModifier,"HL7-defined code system of concepts specifying the modifier for the
body site. Used in HL7 Version 2.x messaging in the RXR segment.",Body Site Modifier Code System,http://terminology.hl7.org/CodeSystem/v2-0495,,,,,,30.08.2003,1,2.5,2.16.840.1.113883.21.335,hl7VS-bodySiteModifier,Value Set of codes that specify the modifier for the body site.,Body Site Modifier Value Set,http://terminology.hl7.org/ValueSet/v2-0495,all codes,,,,,universal,0495,2.16.840.1.113883.12.495,Body Site Modifier,"HL7-defined table of codes specifying the modifier for the body
site.",HL7,OO,RXR-6,2.5,,
0496 -- Consent Type,DOM: 496,ConsentType,"The domain of possible values for to what the subject is consenting,
i.e. what type of service, surgical procedure, information
access/release or other event.",false,2.16.840.1.113883.18.320,consentType,"Code system of concepts specifying to what the subject is
consenting, i.e. what type of service, surgical procedure, information
access/release or other event. Used in HL7 Version 2.x messaging in the
TXA and CON segments.",Consent Type Code System,http://terminology.hl7.org/CodeSystem/v2-0496,,,,,,30.08.2003,1,2.5,2.16.840.1.113883.21.336,hl7VS-consentType,"Value Set of codes that specify to what the subject is consenting,
i.e. what type of service, surgical procedure, information
access/release or other event.",Consent Type Value Set,http://terminology.hl7.org/ValueSet/v2-0496,all codes,,,,,representative,0496,2.16.840.1.113883.12.496,Consent Type,"Table of codes specifying to what the subject is consenting, i.e.
what type of service, surgical procedure, information access/release or
other event.",User,StrucDoc,TXA:2; CON:2,2.5,,
0497 -- Consent Mode,DOM: 497,ConsentMode,"The domain of possible values for the method in which a subject
provides consent.",false,2.16.840.1.113883.18.321,consentMode,"HL7-defined code system of concepts specifying the method in which a
subject provides consent. Used in HL7 Version 2.x messaging in the TXA
and CON segments.",Consent Mode Code System,http://terminology.hl7.org/CodeSystem/v2-0497,,,,,,30.08.2003,1,2.5,2.16.840.1.113883.21.337,hl7VS-consentMode,"Value Set of codes that specify the method in which a subject
provides consent.",Consent Mode Value Set,http://terminology.hl7.org/ValueSet/v2-0497,all codes,,,,,universal,0497,2.16.840.1.113883.12.497,Consent Mode,"HL7-defined table of codes specifying the method in which a subject
provides consent.",HL7,StrucDoc,TXA:10; CON:10,2.5,,
0498 -- Consent Status,DOM: 498,ConsentStatus,"The domain of possible values for whether the consent has been
sought and granted.",false,2.16.840.1.113883.18.322,consentStatus,"HL7-code system of concepts specifying whether the consent has been
sought and granted. Used in HL7 Version 2.x messaging in the TXA and CON
segments.",Consent Status Code System,http://terminology.hl7.org/CodeSystem/v2-0498,,,,,,30.08.2003,1,2.5,2.16.840.1.113883.21.338,hl7VS-consentStatus,"Value Set of codes that specify whether the consent has been sought
and granted.",Consent Status Value Set,http://terminology.hl7.org/ValueSet/v2-0498,all codes,,,,,universal,0498,2.16.840.1.113883.12.498,Consent Status,"HL7-defined table of codes specifying whether the consent has been
sought and granted.",HL7,StrucDoc,TXA:11; CON:11,2.5,,
0499 -- Consent Bypass Reason,DOM: 499,ConsentBypassReason,"The domain of possible values for the reason the subject's consent
was not sought.",false,2.16.840.1.113883.18.323,consentBypassReason,"Code system of concepts specifying the reason the subject's consent
was not sought. Used in HL7 Version 2.x messaging in the CON
segment.",Consent Bypass Reason Code System,http://terminology.hl7.org/CodeSystem/v2-0499,,,,,,30.08.2003,1,2.5,2.16.840.1.113883.21.339,hl7VS-consentBypassReason,"Value Set of codes that specify the reason the subject's consent was
not sought.",Consent Bypass Reason Value Set,http://terminology.hl7.org/ValueSet/v2-0499,all codes,,,,,example,0499,2.16.840.1.113883.12.499,Consent Bypass Reason,"Table of codes specifying the reason the subject's consent was not
sought.",User,StrucDoc,CON:20,2.5,,
